2017-04-18 05:13:14,379 [MainThread:140667452327680] [django.db.backends:91] [utils:execute] [DEBUG]- (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2017-04-18 05:13:14,380 [MainThread:140667452327680] [django.db.backends:91] [utils:execute] [DEBUG]- (0.000) SELECT VERSION(); args=None
2017-04-18 05:14:18,160 [MainThread:140369478543104] [django.db.backends:91] [utils:execute] [DEBUG]- (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2017-04-18 05:14:18,161 [MainThread:140369478543104] [django.db.backends:91] [utils:execute] [DEBUG]- (0.000) SELECT VERSION(); args=None
2017-04-18 05:14:18,178 [MainThread:140369478543104] [django.db.backends:91] [utils:execute] [DEBUG]- (0.000) SHOW FULL TABLES; args=None
2017-04-18 05:14:18,182 [MainThread:140369478543104] [django.db.backends:91] [utils:execute] [DEBUG]- (0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2017-04-18 05:14:31,165 [MainThread:140694508766976] [django.db.backends:91] [utils:execute] [DEBUG]- (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2017-04-18 05:14:31,165 [MainThread:140694508766976] [django.db.backends:91] [utils:execute] [DEBUG]- (0.000) SELECT @@sql_mode; args=None
2017-04-18 05:14:31,166 [MainThread:140694508766976] [django.db.backends:91] [utils:execute] [DEBUG]- (0.000) SELECT VERSION(); args=None
2017-04-18 05:14:31,187 [MainThread:140694508766976] [django.db.backends:91] [utils:execute] [DEBUG]- (0.000) SHOW FULL TABLES; args=None
2017-04-18 05:14:31,191 [MainThread:140694508766976] [django.db.backends:91] [utils:execute] [DEBUG]- (0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2017-04-18 05:14:31,192 [MainThread:140694508766976] [django.db.backends:91] [utils:execute] [DEBUG]- (0.000) SHOW FULL TABLES; args=None
2017-04-18 05:14:31,193 [MainThread:140694508766976] [django.db.backends:91] [utils:execute] [DEBUG]- (0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2017-04-18 05:14:31,196 [MainThread:140694508766976] [django.db.backends.schema:110] [schema:execute] [DEBUG]- CREATE TABLE `django_content_type` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `name` varchar(100) NOT NULL, `app_label` varchar(100) NOT NULL, `model` varchar(100) NOT NULL); (params None)
2017-04-18 05:14:31,446 [MainThread:140694508766976] [django.db.backends:91] [utils:execute] [DEBUG]- (0.250) CREATE TABLE `django_content_type` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `name` varchar(100) NOT NULL, `app_label` varchar(100) NOT NULL, `model` varchar(100) NOT NULL); args=None
2017-04-18 05:14:31,489 [MainThread:140694508766976] [django.db.backends:91] [utils:execute] [DEBUG]- (0.042) SELECT engine FROM information_schema.tables WHERE table_name = 'django_content_type'; args=[u'django_content_type']
2017-04-18 05:14:31,490 [MainThread:140694508766976] [django.db.backends:91] [utils:execute] [DEBUG]- (0.001) SELECT engine FROM information_schema.tables WHERE table_name = 'django_content_type'; args=[u'django_content_type']
2017-04-18 05:14:31,496 [MainThread:140694508766976] [django.db.backends:91] [utils:execute] [DEBUG]- (0.006) SELECT engine FROM information_schema.tables WHERE table_name = 'django_content_type'; args=[u'django_content_type']
2017-04-18 05:14:31,498 [MainThread:140694508766976] [django.db.backends:91] [utils:execute] [DEBUG]- (0.001) SELECT engine FROM information_schema.tables WHERE table_name = 'django_content_type'; args=[u'django_content_type']
2017-04-18 05:14:31,506 [MainThread:140694508766976] [django.db.backends.schema:110] [schema:execute] [DEBUG]- ALTER TABLE `django_content_type` ADD CONSTRAINT `django_content_type_app_label_model_76bd3d3b_uniq` UNIQUE (`app_label`, `model`); (params ())
2017-04-18 05:14:31,714 [MainThread:140694508766976] [django.db.backends:91] [utils:execute] [DEBUG]- (0.208) ALTER TABLE `django_content_type` ADD CONSTRAINT `django_content_type_app_label_model_76bd3d3b_uniq` UNIQUE (`app_label`, `model`); args=()
2017-04-18 05:14:31,715 [MainThread:140694508766976] [django.db.backends:91] [utils:execute] [DEBUG]- (0.001) SHOW FULL TABLES; args=None
2017-04-18 05:14:31,720 [MainThread:140694508766976] [django.db.backends:91] [utils:execute] [DEBUG]- (0.002) INSERT INTO `django_migrations` (`app`, `name`, `applied`) VALUES ('contenttypes', '0001_initial', '2017-04-18 05:14:31.716582'); args=['contenttypes', u'0001_initial', u'2017-04-18 05:14:31.716582']
2017-04-18 05:14:31,754 [MainThread:140694508766976] [django.db.backends.schema:110] [schema:execute] [DEBUG]- ALTER TABLE `django_content_type` MODIFY `name` varchar(100) NULL; (params [])
2017-04-18 05:14:32,196 [MainThread:140694508766976] [django.db.backends:91] [utils:execute] [DEBUG]- (0.442) ALTER TABLE `django_content_type` MODIFY `name` varchar(100) NULL; args=[]
2017-04-18 05:14:32,201 [MainThread:140694508766976] [django.db.backends.schema:110] [schema:execute] [DEBUG]- ALTER TABLE `django_content_type` DROP COLUMN `name`; (params ())
2017-04-18 05:14:32,632 [MainThread:140694508766976] [django.db.backends:91] [utils:execute] [DEBUG]- (0.430) ALTER TABLE `django_content_type` DROP COLUMN `name`; args=()
2017-04-18 05:14:32,632 [MainThread:140694508766976] [django.db.backends:91] [utils:execute] [DEBUG]- (0.000) SHOW FULL TABLES; args=None
2017-04-18 05:14:32,633 [MainThread:140694508766976] [django.db.backends:91] [utils:execute] [DEBUG]- (0.000) INSERT INTO `django_migrations` (`app`, `name`, `applied`) VALUES ('contenttypes', '0002_remove_content_type_name', '2017-04-18 05:14:32.633125'); args=['contenttypes', u'0002_remove_content_type_name', u'2017-04-18 05:14:32.633125']
2017-04-18 05:14:32,713 [MainThread:140694508766976] [django.db.backends.schema:110] [schema:execute] [DEBUG]- CREATE TABLE `auth_permission` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `name` varchar(50) NOT NULL, `content_type_id` integer NOT NULL, `codename` varchar(100) NOT NULL); (params None)
2017-04-18 05:14:33,033 [MainThread:140694508766976] [django.db.backends:91] [utils:execute] [DEBUG]- (0.320) CREATE TABLE `auth_permission` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `name` varchar(50) NOT NULL, `content_type_id` integer NOT NULL, `codename` varchar(100) NOT NULL); args=None
2017-04-18 05:14:33,057 [MainThread:140694508766976] [django.db.backends:91] [utils:execute] [DEBUG]- (0.023) SELECT engine FROM information_schema.tables WHERE table_name = 'auth_permission'; args=[u'auth_permission']
2017-04-18 05:14:33,058 [MainThread:140694508766976] [django.db.backends:91] [utils:execute] [DEBUG]- (0.001) SELECT engine FROM information_schema.tables WHERE table_name = 'auth_permission'; args=[u'auth_permission']
2017-04-18 05:14:33,058 [MainThread:140694508766976] [django.db.backends:91] [utils:execute] [DEBUG]- (0.001) SELECT engine FROM information_schema.tables WHERE table_name = 'auth_permission'; args=[u'auth_permission']
2017-04-18 05:14:33,059 [MainThread:140694508766976] [django.db.backends:91] [utils:execute] [DEBUG]- (0.001) SELECT engine FROM information_schema.tables WHERE table_name = 'auth_permission'; args=[u'auth_permission']
2017-04-18 05:14:33,066 [MainThread:140694508766976] [django.db.backends.schema:110] [schema:execute] [DEBUG]- CREATE TABLE `auth_group` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `name` varchar(80) NOT NULL UNIQUE); (params None)
2017-04-18 05:14:33,334 [MainThread:140694508766976] [django.db.backends:91] [utils:execute] [DEBUG]- (0.267) CREATE TABLE `auth_group` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `name` varchar(80) NOT NULL UNIQUE); args=None
2017-04-18 05:14:33,363 [MainThread:140694508766976] [django.db.backends:91] [utils:execute] [DEBUG]- (0.028) SELECT engine FROM information_schema.tables WHERE table_name = 'auth_group'; args=[u'auth_group']
